source_file,benchmark,baseline,metric,direction,adare_n,adare_mean,adare_std,adare_median,adare_iqr,baseline_mean,baseline_std,baseline_median,baseline_iqr,gain_percent,paired_improvement_mean,paired_improvement_ci95_low,paired_improvement_ci95_high,wilcoxon_one_sided_p,holm_p,rank_biserial_paired
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,spacing,min,20,0.06173150698803931,0.009058121879499136,0.06309854414637087,0.011699919013860832,0.06896843487400686,0.01758586747947786,0.06535539994574949,0.0065615681915593554,10.493101516930377,0.007236927885967562,0.0003464833202231824,0.015619636807809137,0.06636333465576172,1.0,0.3904761904761905
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Contextual-UCB,time,min,20,4.597986299998593,0.10866288699588562,4.577835699979914,0.047320475001470186,4.486648980001337,0.045703197969968544,4.492101999989245,0.059481949982000515,-2.481525086841603,-0.11133731999725568,-0.16746542610861068,-0.07139026674813069,1.0,1.0,-1.0
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,cost_best,min,20,27347.955227923077,347.69335467223635,27300.58968769231,484.1205280769209,27319.78764069231,334.52458179200084,27277.509243846158,388.6502884615402,-0.10310324370462064,-28.167587230767094,-213.34222521730683,157.5908037346184,0.6079368591308594,1.0,-0.06666666666666667
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,coverage,max,20,0.059601263841120744,0.029573842206626757,0.04722222222222222,0.0339478208739127,0.05263679178063104,0.02173286654260266,0.04838709677419355,0.025526431234919933,13.231186447522902,0.006964472060489693,-0.010208402315742654,0.02386876306550365,0.24900436401367188,1.0,0.18095238095238095
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,energy_best,min,20,716297478.4886153,306150.8145675436,716236393.7615384,245119.22769224644,716214709.3659999,232517.6235471566,716166902.5923076,299420.4403847456,-0.01155646784867144,-82769.12261539101,-258066.09548076865,62030.01819810327,0.7847833633422852,1.0,-0.2
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,epsilon,min,20,0.043676952019095674,0.00677229779801243,0.042613200456036324,0.008526716159217101,0.04594876617224409,0.010449155347881654,0.04416015916484263,0.009392384137112478,4.944233202328578,0.002271814153148413,-0.002172662514685436,0.006938240174620512,0.22618770599365234,1.0,0.2
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,hv,max,20,1.103508679844719,0.003559018304179106,1.1043389291298622,0.004549070177310766,1.1033236107975357,0.003196362793772424,1.1039830138832998,0.003957074969056951,0.016773777464021377,0.00018506904718301742,-0.0017894180517867013,0.0020080627083661155,0.20454883575439453,1.0,0.21904761904761905
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,igd,min,20,0.03384186118982302,0.003087301094184825,0.03413419952546277,0.0036210576564807,0.03464486458062919,0.00333051551411701,0.03437007176438048,0.0029083219490994017,2.3178136226722272,0.0008030033908061679,-0.0008759108916017381,0.002626936413953354,0.28529834747314453,1.0,0.1523809523809524
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,latency_best,min,20,858848.9189932797,16650.136761949427,860571.7577452449,8395.00469359965,862728.344242467,17603.348366524584,862594.0995073256,8443.84335195925,0.44966938609089857,3879.4252491874913,-4306.7879724261775,11803.38916284803,0.19418811798095703,1.0,0.22857142857142856
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,makespan_best,min,20,261774.11549307258,105.5620649394197,261770.36720326924,154.6950776584854,261782.72065566303,99.65855657553601,261780.293896552,123.15971758487285,0.003287139261483155,8.605162590442342,-40.75281881893584,57.54178717872873,0.3920631408691406,1.0,0.0761904761904762
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,spacing,min,20,0.06173150698803931,0.009058121879499136,0.06309854414637087,0.011699919013860832,0.06552211799301834,0.011123705945650987,0.06099593419446063,0.011852336708373552,5.785238818719102,0.0037906110049790226,-0.002622346063961036,0.010407574236057999,0.18413829803466797,1.0,0.23809523809523808
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Global-UCB,time,min,20,4.597986299998593,0.10866288699588562,4.577835699979914,0.047320475001470186,4.503503624987206,0.06623758744186554,4.4879801999777555,0.07668767499853857,-2.0979815467930245,-0.09448267501138616,-0.1696267645057378,-0.044011289153932015,0.9999475479125977,1.0,-0.8857142857142857
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,cost_best,min,20,27347.955227923077,347.69335467223635,27300.58968769231,484.1205280769209,27317.305994538467,278.6736800740392,27365.796820769232,339.50267461537806,-0.11219713023948458,-30.64923338461449,-212.25559806345981,152.3219003923096,0.6761722564697266,1.0,-0.11428571428571428
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,coverage,max,20,0.04527071583935858,0.02776752992468734,0.03740562800274537,0.03157216494845361,0.05488009704644542,0.028849007125412725,0.052391924511740184,0.03130765056972327,-17.509774443281966,-0.009609381207086843,-0.02889230794116108,0.009200439814621262,0.814890209055952,1.0,-0.22857142857142856
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,energy_best,min,20,716297478.4886153,306150.8145675436,716236393.7615384,245119.22769224644,716200792.0404999,353570.9431604502,716147946.0965384,324147.19615387917,-0.013499908013209983,-96686.44811537265,-273353.3070547944,85876.39404231857,0.9285469055175781,1.0,-0.37142857142857144
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,epsilon,min,20,0.043676952019095674,0.00677229779801243,0.042613200456036324,0.008526716159217101,0.054406621758758454,0.022110133787800405,0.045887767599120576,0.014331173173947193,19.721257069109427,0.01072966973966279,0.001581164787694627,0.021215802167276157,0.0347900390625,1.0,0.4666666666666667
controller_ablation_r20_g70\Epigenomics\reports\Epigenomics_24_extended_pairwise_metrics.csv,Epigenomics_24,Static,hv,max,20,1.103508679844719,0.003559018304179106,1.1043389291298622,0.004549070177310766,1.10155137383381,0.007645886554264246,1.104236632262401,0.002858820408448093,0.17768631199620455,0.001957306010908699,-0.0014218461331874446,0.005863733505206934,0.35059070587158203,1.0,0.10476190476190476
