source_file,benchmark,context,operator,uses,mean_reward
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,two_point,4060,0.07361652486409741
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_5,3729,0.0612745599289276
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:moving,uniform_0_8,4261,0.07361768572698943
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,one_point,1012,0.05841259261068725
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,two_point,1101,0.061475148107519834
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_5,934,0.041210835953190326
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,early:high_div:stagnant,uniform_0_8,1039,0.05715976922012177
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,one_point,1304,0.047891403524587324
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,two_point,1389,0.052472748610468266
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_5,1213,0.035901619884764036
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:moving,uniform_0_8,1321,0.0594071428235293
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,one_point,3771,0.053233394141109405
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,two_point,3691,0.053609689343427976
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_5,3212,0.037926726089514834
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,late:high_div:stagnant,uniform_0_8,3572,0.055846922500928604
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,one_point,2015,0.05411202260315785
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,two_point,1933,0.05550049938192268
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_5,1727,0.04074881421894096
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:moving,uniform_0_8,1936,0.05742464282593067
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,one_point,2996,0.055361258881399034
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,two_point,3052,0.05230208975475819
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_5,2854,0.041800889621738946
ablation_v1_v5_r20\V3\CyberShake\reports\CyberShake_30_adare_controller_trace.csv,CyberShake_30,middle:high_div:stagnant,uniform_0_8,3100,0.05703870205754424
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,one_point,4362,0.09083210003168307
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,two_point,4560,0.09274342424287074
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_5,3532,0.06391520293256123
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:moving,uniform_0_8,4227,0.07785245030550264
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,one_point,986,0.08469843943374133
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,two_point,987,0.09048703782451943
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,uniform_0_5,860,0.05721974085784262
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,early:high_div:stagnant,uniform_0_8,927,0.07061273780257273
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,one_point,898,0.07505430546752331
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,two_point,862,0.0805355040945749
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,uniform_0_5,771,0.05097813156058395
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:moving,uniform_0_8,888,0.06568272442423116
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,one_point,4348,0.07642765341047614
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,two_point,4237,0.07777033674259234
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,uniform_0_5,3670,0.05339801740615693
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,late:high_div:stagnant,uniform_0_8,3829,0.06591902501609925
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,one_point,2479,0.08060690516979704
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,two_point,2390,0.08156008132271078
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,uniform_0_5,2158,0.051731147584221766
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:moving,uniform_0_8,2359,0.07018857470154746
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,one_point,2680,0.07840024380751119
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,two_point,2701,0.08147671085551401
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,uniform_0_5,2280,0.05357417290261727
ablation_v1_v5_r20\V3\Epigenomics\reports\Epigenomics_24_adare_controller_trace.csv,Epigenomics_24,middle:high_div:stagnant,uniform_0_8,2422,0.06606866997490253
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,one_point,4994,0.0655435240367809
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,two_point,4791,0.055764823939129134
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,uniform_0_5,3899,0.036155407520088514
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:moving,uniform_0_8,4401,0.05138492373803602
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,one_point,604,0.05010278963084498
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,two_point,616,0.042124741884948795
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,uniform_0_5,545,0.016290687252835938
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,early:high_div:stagnant,uniform_0_8,552,0.03192683229739522
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,one_point,1915,0.044723295178953425
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,two_point,1822,0.03486944575443203
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,uniform_0_5,1540,0.012569570858156898
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:moving,uniform_0_8,1716,0.030425555636792806
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,one_point,3397,0.04190070927602051
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,two_point,3261,0.03369566220644714
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,uniform_0_5,2865,0.013638388521790532
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,late:high_div:stagnant,uniform_0_8,3073,0.027892858805589393
ablation_v1_v5_r20\V3\Montage\reports\Montage_25_adare_controller_trace.csv,Montage_25,middle:high_div:moving,one_point,2605,0.040330410383721205
