source_file,benchmark,algorithm,n,mean_objective_evaluations,std_objective_evaluations,median_objective_evaluations
large_3000_r10_g20\Srasearch\reports\Srasearch_3000_wfcommons_extended_run_metrics.csv,Srasearch_3000_wfcommons,QL-NSGA-III,10,1097.5,9.571369343574153,1097.5
large_3000_r10_g20\Srasearch\reports\Srasearch_3000_wfcommons_extended_run_metrics.csv,Srasearch_3000_wfcommons,QMOEA/D-AWA-style,10,810.8,41.630117303061574,820.0
quick_ablation\V2\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,1,6126.0,0.0,6126.0
quick_ablation\V2\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,1,6002.0,0.0,6002.0
quick_ablation\V2\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,1,6045.0,0.0,6045.0
quick_ablation\V2\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,1,5999.0,0.0,5999.0
quick_ablation\V2\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,1,5962.0,0.0,5962.0
quick_ablation\V2\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,1,5822.0,0.0,5822.0
quick_ablation\V3\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,1,6191.0,0.0,6191.0
quick_ablation\V3\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,1,6002.0,0.0,6002.0
quick_ablation\V3\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,1,6137.0,0.0,6137.0
quick_ablation\V3\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,NSGA-III,1,5999.0,0.0,5999.0
quick_ablation\V3\Montage\reports\Montage_25_run_metrics.csv,Montage_25,ADARE,1,6151.0,0.0,6151.0
quick_ablation\V3\Montage\reports\Montage_25_run_metrics.csv,Montage_25,NSGA-III,1,5822.0,0.0,5822.0
quick_ablation\V4\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,ADARE,1,6211.0,0.0,6211.0
quick_ablation\V4\CyberShake\reports\CyberShake_30_run_metrics.csv,CyberShake_30,NSGA-III,1,6002.0,0.0,6002.0
quick_ablation\V4\Epigenomics\reports\Epigenomics_24_run_metrics.csv,Epigenomics_24,ADARE,1,6157.0,0.0,6157.0
