benchmark,algorithm,source_run,point,makespan,latency,cost,energy
CyberShake_30,NSGA-III,2,26,15529.381548461539,79552.14931887019,17195.48270769231,32825168.115384616
CyberShake_30,NSGA-III,2,27,15586.772509230774,71167.89759994294,12304.398441538458,34915258.723076925
CyberShake_30,NSGA-III,2,28,15661.596635594951,81512.63615050181,10482.51193846154,35845031.57692308
CyberShake_30,NSGA-III,2,29,15719.642176153844,76878.68421557092,14507.095015384617,33969530.230769224
CyberShake_30,NSGA-III,2,30,16009.774543076921,77375.85130093148,13011.14847692308,34538989.65384616
CyberShake_30,NSGA-III,2,31,16208.567655489784,93127.9435857151,8460.145364615384,36823115.06923077
CyberShake_30,NSGA-III,2,32,16386.30968123197,82994.89039547779,11629.01074923077,35220483.33846153
CyberShake_30,NSGA-III,2,33,16598.11818359375,72955.11249800479,7880.853092307692,40097436.38461539
CyberShake_30,NSGA-III,2,34,16598.11818359375,74269.70975554084,7845.2315538461535,40113913.30769231
CyberShake_30,NSGA-III,2,35,16807.568077115386,87389.11683212742,14258.606518461538,34113187.37692308
CyberShake_30,NSGA-III,2,36,16953.109833846152,81982.26479348558,17231.10424615385,32808691.192307692
CyberShake_30,NSGA-III,2,37,17003.859046090744,88617.35246916168,9671.36270769231,36187028.115384616
CyberShake_30,NSGA-III,2,38,17018.570584552283,72391.32777712742,11442.96921076923,35277820.261538476
CyberShake_30,NSGA-III,2,39,17214.026580153248,107229.14263594055,7805.826903076924,40751810.64615384
CyberShake_30,NSGA-III,2,40,17217.00817846154,88115.37639251802,14014.398441538457,34177686.22307693
CyberShake_30,NSGA-III,2,41,17248.146905847356,84762.28643728666,8160.799246153845,38276303.69230769
CyberShake_30,NSGA-III,2,42,17363.327641601565,103346.19102746996,10117.602672307692,36028629.68461537
CyberShake_30,NSGA-III,2,43,17816.49032738582,92387.92694727468,9412.209210769233,36415937.76153846
CyberShake_30,NSGA-III,2,44,17831.20186584736,85161.63482294173,8881.003476923077,36618124.65384615
CyberShake_30,NSGA-III,2,45,18261.805824786657,89752.23476483775,10309.593092307694,35863093.884615384
CyberShake_30,NSGA-III,2,46,18261.805824786657,100897.81538977765,13998.896169230773,34148062.53846154
CyberShake_30,NSGA-III,2,47,18317.346960000003,95224.71096758117,13313.49113384615,34476766.60769231
CyberShake_30,NSGA-III,2,48,18360.81095138822,87233.46837426683,11281.182323076924,35405154.84615385
CyberShake_30,NSGA-III,2,49,18433.312780769233,104976.95501,18124.99232307692,32309514.84615384
CyberShake_30,NSGA-III,2,50,18908.02196230769,75856.00839536957,16409.630400000005,33111040.999999993
CyberShake_30,NSGA-III,2,51,19012.0230576923,80128.60508221452,16415.943092307698,33074916.384615377
CyberShake_30,NSGA-III,2,52,19050.076513671873,106459.68057416168,8077.3969384615375,38245331.57692308
CyberShake_30,NSGA-III,2,53,19373.516710591943,72343.6609882031,14362.493056923076,33991545.45384615
CyberShake_30,NSGA-III,2,54,19453.53748046875,131153.50632858774,8290.183826153845,36868526.992307685
