benchmark,algorithm,run,generation,makespan_best,latency_best,cost_best,energy_best
CyberShake_30,NSGA-II,3,7,11421.62025,54029.12293464845,6902.645749230771,32762737.37692307
CyberShake_30,NSGA-II,3,8,11421.62025,51595.64571127102,6902.645749230771,32762737.37692307
CyberShake_30,NSGA-II,3,9,11421.62025,50154.144725006,5522.397672307692,32762737.37692307
CyberShake_30,NSGA-II,3,10,11421.62025,50154.144725006,5506.866553846153,32415046.607692298
CyberShake_30,NSGA-II,3,11,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,NSGA-II,3,12,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,NSGA-II,3,13,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,NSGA-II,3,14,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,NSGA-II,3,15,11421.62025,50154.144725006,5291.294980000001,32415046.607692298
CyberShake_30,NSGA-II,4,0,12182.582124999999,53894.68266748797,6920.953826153846,35141821.27769232
CyberShake_30,NSGA-II,4,1,11520.788165384614,53894.68266748797,6920.953826153846,34106805.70076924
CyberShake_30,NSGA-II,4,2,11520.788165384614,53894.68266748797,6920.953826153846,34106805.70076924
CyberShake_30,NSGA-II,4,3,11495.45403076923,53894.68266748797,6920.953826153846,34071413.20076924
CyberShake_30,NSGA-II,4,4,11495.45403076923,53894.68266748797,5933.765749230768,34071413.20076924
CyberShake_30,NSGA-II,4,5,11495.45403076923,53894.68266748797,4493.765749230768,34071413.20076924
CyberShake_30,NSGA-II,4,6,11495.45403076923,53894.68266748797,4493.765749230768,34071413.20076924
CyberShake_30,NSGA-II,4,7,11495.45403076923,53894.68266748797,4493.765749230768,33434028.00846153
CyberShake_30,NSGA-II,4,8,11495.45403076923,53894.68266748797,4479.845749230768,33434028.00846153
CyberShake_30,NSGA-II,4,9,11495.45403076923,53894.68266748797,3468.3519030769235,32784671.41538461
CyberShake_30,NSGA-II,4,10,11495.45403076923,53894.68266748797,3468.3519030769235,32784671.41538461
CyberShake_30,NSGA-II,4,11,11482.062203846153,53894.68266748797,3195.6294000000003,32784671.41538461
CyberShake_30,NSGA-II,4,12,11482.062203846153,53894.68266748797,2128.346518461538,32784671.41538461
CyberShake_30,NSGA-II,4,13,11482.062203846153,53660.025653533645,2128.346518461538,32784671.41538461
CyberShake_30,NSGA-II,4,14,11482.062203846153,53660.025653533645,2128.346518461538,32784671.41538461
CyberShake_30,NSGA-II,4,15,11482.062203846153,53660.025653533645,2128.346518461538,32784671.41538461
CyberShake_30,NSGA-II,5,0,12210.3089921875,60641.2095458774,6054.518056923077,34438935.61538461
CyberShake_30,NSGA-II,5,1,12046.20657692308,60337.8639358774,6054.518056923077,34438935.61538461
CyberShake_30,NSGA-II,5,2,11520.694415384614,60337.8639358774,6054.518056923077,34438935.61538461
CyberShake_30,NSGA-II,5,3,11001.510250000001,54693.20880696515,6054.518056923077,33473760.038461532
CyberShake_30,NSGA-II,5,4,11001.510250000001,54693.20880696515,4721.672287692309,33473760.038461532
CyberShake_30,NSGA-II,5,5,11001.510250000001,52300.19177594051,4721.672287692309,33438026.085384615
CyberShake_30,NSGA-II,5,6,11001.510250000001,52300.19177594051,4721.672287692309,33438026.085384615
CyberShake_30,NSGA-II,5,7,11001.510250000001,52300.19177594051,4721.672287692309,33046160.893076923
CyberShake_30,NSGA-II,5,8,11001.510250000001,52300.19177594051,4721.672287692309,33014659.653846152
CyberShake_30,NSGA-II,5,9,10938.452625,52300.19177594051,4721.672287692309,33014659.653846152
CyberShake_30,NSGA-II,5,10,10938.452625,52300.19177594051,4392.706938461539,31983794.461538453
CyberShake_30,NSGA-II,5,11,10938.452625,52300.19177594051,3309.7511338461527,31983794.461538453
CyberShake_30,NSGA-II,5,12,10938.452625,52300.19177594051,3309.7511338461527,31983794.461538453
CyberShake_30,NSGA-II,5,13,10806.649,52300.19177594051,3309.7511338461527,31983794.461538453
CyberShake_30,NSGA-II,5,14,10806.649,51747.88786106972,3302.138056923076,31983794.461538453
CyberShake_30,NSGA-II,5,15,10806.649,51747.88786106972,3302.138056923076,31983794.461538453
CyberShake_30,MOEA/D,1,0,11270.597154203726,58614.14677041166,7351.765364615384,35177771.085384615
CyberShake_30,MOEA/D,1,1,12976.137971679687,57888.51827008414,9818.904210769235,34327382.18461538
CyberShake_30,MOEA/D,1,2,13957.681440796274,62118.339730054075,11505.535015384618,34327382.18461538
CyberShake_30,MOEA/D,1,3,14094.65791,65348.97407202223,11505.535015384618,33153280.261538457
CyberShake_30,MOEA/D,1,4,14152.64589076923,65348.97407202223,11505.535015384618,32295350.230769224
CyberShake_30,MOEA/D,1,5,14252.251882307692,65348.97407202223,11505.535015384618,32196869.461538456
CyberShake_30,MOEA/D,1,6,13881.188652334735,65348.97407202223,11505.535015384618,32164073.11538461
CyberShake_30,MOEA/D,1,7,13881.188652334735,65348.97407202223,11505.535015384618,31542079.65384615
CyberShake_30,MOEA/D,1,8,13881.188652334735,65348.97407202223,11505.535015384618,31194731.57692307
CyberShake_30,MOEA/D,1,9,13881.188652334735,66239.96058897534,11505.535015384618,31194731.57692307
CyberShake_30,MOEA/D,1,10,13881.188652334735,66239.96058897534,11505.535015384618,31116341.57692307
CyberShake_30,MOEA/D,1,11,13881.188652334735,66239.96058897534,11505.535015384618,31112890.423076913
CyberShake_30,MOEA/D,1,12,13881.188652334735,66239.96058897534,11505.535015384618,31103925.03846153
CyberShake_30,MOEA/D,1,13,13881.188652334735,66239.96058897534,10614.496133846156,31088355.03846153
CyberShake_30,MOEA/D,1,14,13881.188652334735,66239.96058897534,10614.496133846156,31088355.03846153
CyberShake_30,MOEA/D,1,15,13881.188652334735,66239.96058897534,10614.496133846156,31088355.03846153
