benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent
Inspiral_1000,QMOEA/D-AWA-style,epsilon,0.3160299634824951,0.03280412539543494,0.4327128173325704,0.09438892069214241,26.965425838171146
Inspiral_1000,QMOEA/D-AWA-style,coverage,0.019770196908354805,0.040893406221040256,0.05687228522428319,0.07564613656940619,-65.23755493490637
Inspiral_1000,QMOEA/D-AWA-style,time,14.186552364999988,0.28451134071257256,17.391781314999843,1.050940534592697,18.429561020500238
Inspiral_1000,QMOEA/D-AWA-style,makespan_best,1150432.4461427894,24682.70479265628,1418826.577676809,89803.94724049527,18.91662700409016
Inspiral_1000,QMOEA/D-AWA-style,latency_best,132415890.81934527,2202813.383483321,154013104.78061372,9772170.477913829,14.022971611430684
Inspiral_1000,QMOEA/D-AWA-style,cost_best,4753766.881693618,94522.24312518019,4863206.496714081,183481.59760661251,2.2503592042494454
Inspiral_1000,QMOEA/D-AWA-style,energy_best,12111435177.462032,70613873.78615142,11771854696.626497,77968072.8381275,-2.8846812128325867
Montage_1000,NSGA-III,hv,0.4882480492971128,0.02204288907928265,0.44570376171382753,0.02258553779805811,9.545418109035756
Montage_1000,NSGA-III,igd,0.1297489930897071,0.008371294304328269,0.1468645607055037,0.015736572045958686,11.653980738155832
Montage_1000,NSGA-III,spacing,0.046222272421442265,0.005524305125392368,0.048297166733093325,0.007561789464444874,4.296099444337255
Montage_1000,NSGA-III,epsilon,0.287882734539747,0.03255491980430306,0.3129081864351605,0.032884335453503014,7.997698040603731
Montage_1000,NSGA-III,coverage,0.35263832873497664,0.13911906676034447,0.1416564807947213,0.10445861107869167,148.93907201181676
Montage_1000,NSGA-III,time,14.411891245000334,0.3494580787579519,14.635500334999596,0.7292310253317518,1.5278540868501782
Montage_1000,NSGA-III,makespan_best,72503.15590966753,1144.8010517371936,72583.89802510368,2019.19022375322,0.11123970692263684
Montage_1000,NSGA-III,latency_best,11331682.218444165,179436.0407835386,11420083.797972037,128772.6223931103,0.7740887115344103
Montage_1000,NSGA-III,cost_best,251797.01212984603,3781.843311253407,254301.29039753834,4366.752651594047,0.9847682108798889
Montage_1000,NSGA-III,energy_best,616098273.472616,2886033.526944122,618243147.6410774,2492209.6982012,0.3469305202403398
Montage_1000,QL-NSGA-III,hv,0.4882480492971128,0.02204288907928265,0.4739578649173799,0.020952363581386486,3.0150748489475863
Montage_1000,QL-NSGA-III,igd,0.1297489930897071,0.008371294304328269,0.13787508987009928,0.010246970892881442,5.893810686214797
Montage_1000,QL-NSGA-III,spacing,0.046222272421442265,0.005524305125392368,0.04703473404698474,0.006358886795570947,1.7273651951149005
Montage_1000,QL-NSGA-III,epsilon,0.287882734539747,0.03255491980430306,0.29970915773073215,0.028854898106066743,3.9459665765736682
Montage_1000,QL-NSGA-III,coverage,0.28219992087708995,0.1105608185196763,0.18680265588892397,0.0658062435297856,51.068473590060094
Montage_1000,QL-NSGA-III,time,14.411891245000334,0.3494580787579519,14.708597554999779,0.4397106796560382,2.0172304591921346
Montage_1000,QL-NSGA-III,makespan_best,72503.15590966753,1144.8010517371936,72201.26758346679,1614.2314517723505,-0.41812053486699813
