benchmark,run,algorithm,hv,igd,spacing,epsilon,coverage,time,makespan_best,latency_best,cost_best,energy_best
Montage_25,2,ADARE,0.8322689668776657,0.08497646442050659,0.05759696012954386,0.11747835389398809,nan,2.82101070000499,2282.780248461538,11159.997890769233,1740.7781861538463,9805069.607692307
Montage_25,2,NSGA-III,0.8272403487472112,0.07246979087113717,0.06007564059047352,0.11853174450036388,0.3541666666666667,2.760230200001388,3059.970066340145,12883.722893951324,1768.8603753846155,9877264.531538464
Montage_25,2,NSGA-II,0.8000396628941753,0.0883969503900932,0.05261895418078711,0.16674564156384214,0.20833333333333334,2.8732969999982743,3050.045658374399,12921.291579233774,1314.9300261538463,10184997.684615385
Montage_25,2,MOEA/D,0.5658464514520787,0.19837125545493992,0.15045757291838535,0.2737311251320217,0.0,2.6756492999993498,3815.5861799098557,14721.030040306494,2969.184955384615,9258534.384615386
Montage_25,2,QL-NSGA-III,0.8075719688902104,0.08747456307810626,0.06284924380503452,0.15363927042120096,0.17708333333333334,3.0729259999934584,2841.9930673527633,12965.14470270132,1672.1938015384615,9674829.223076925
Montage_25,2,OVEA-style,0.6689906130974629,0.1791425579387206,0.042024504426528594,0.31250358407332657,0.125,2.831445999996504,3039.3088848497596,13920.503447298677,2923.393872307692,9993202.330769232
Montage_25,2,QMOEA/D-AWA-style,0.3698319869310742,0.45624698652932416,0.09311930740284599,0.6020694381357758,0.0,2.8685627000086242,3967.328975546875,16228.099627854564,5508.58006153846,9286875.730769232
Montage_25,3,ADARE,0.8173451378114516,0.09503726106497577,0.03909888237822217,0.16871900571288131,nan,2.793138799999724,2282.780248461538,11159.997890769233,2157.012718461539,10096576.146153845
Montage_25,3,NSGA-III,0.8501149398405194,0.07730253711533601,0.05930101660083922,0.10140957980235495,0.31958762886597936,2.760210199994617,3191.8912811298073,13075.647700685102,946.2108784615383,9768712.90769231
Montage_25,3,NSGA-II,0.8435701029631277,0.07571789306886575,0.04317482121156752,0.1207900955326176,0.2268041237113402,2.9955677000107244,2933.044411093749,12902.236237650239,1481.9539907692308,9863217.931538463
Montage_25,3,MOEA/D,0.6317990767041153,0.26328072821534954,0.07339165924320241,0.2892484172242102,0.041237113402061855,4.28887279999617,3678.234130552885,15157.482573719954,3089.1969492307694,9214434.223076925
Montage_25,3,QL-NSGA-III,0.8523319767253229,0.08464201289726665,0.06578783176795938,0.13958263570773258,0.25773195876288657,3.3003622999967774,3039.4145045522837,12912.366041096759,1322.4866830769233,10026892.076923076
Montage_25,3,OVEA-style,0.6459472951906491,0.1635728817996287,0.06401057572901098,0.26525568048167836,0.07216494845360824,3.582934699996258,3227.600046980168,14360.227410105166,2903.6351799999998,10650164.085384615
Montage_25,3,QMOEA/D-AWA-style,0.499590152411629,0.3585994912180606,0.0,0.5196591893979261,0.030927835051546393,3.1475041000085184,3592.386373813101,14901.92260260517,4871.212523076922,9799244.0
Montage_25,4,ADARE,0.8564098972749201,0.07208464756926,0.04250540439100187,0.11450281696745215,nan,3.5560399000096368,2282.780248461538,11159.997890769233,1521.8880323076926,9880911.915384617
Montage_25,4,NSGA-III,0.7939445803826113,0.08164699974975696,0.04797212869477897,0.19472865495320005,0.17307692307692307,3.1573916000052122,2932.639120267427,12788.176446526446,2358.173452307693,10033676.207692308
Montage_25,4,NSGA-II,0.7811952550126591,0.08701485960646343,0.03791271909051178,0.17715179739143344,0.04807692307692308,2.944398400009959,3026.236659498197,13056.451210655048,2222.2326123076928,9939550.538461538
Montage_25,4,MOEA/D,0.5887979182020613,0.18177419015801183,0.07732698514335883,0.3221803700925457,0.0,3.2170119999937015,3547.0638791706733,14396.491473079928,3343.89534,9451774.44615385
Montage_25,4,QL-NSGA-III,0.8320215954376846,0.07379543199134622,0.05714432364265197,0.1577683091901086,0.25961538461538464,3.2535628999903565,2784.0534342548067,12863.657850009015,2072.319144615385,9999884.992307693
Montage_25,4,OVEA-style,0.6368487502369731,0.2529667789203194,0.011654159973166399,0.31356794014485956,0.028846153846153848,3.0412190000060946,3230.0385195222357,14811.690506847961,3277.2861092307694,10377925.547692308
Montage_25,4,QMOEA/D-AWA-style,0.18819629961175263,0.570171274887769,0.07340100061812148,0.6629930108949392,0.0,3.2877665999985766,5131.865458323318,19263.672082250603,5979.767907692308,9239755.376923079
Montage_25,5,ADARE,0.776487691400457,0.08871827973625192,0.06255997052218747,0.19995914996919834,nan,3.205469799999264,2282.780248461538,11159.997890769233,2305.7511030769238,10378320.984615386
Montage_25,5,NSGA-III,0.7909307988883568,0.09378876575933907,0.03414726946512934,0.2392546552086536,0.11494252873563218,3.4790402999933576,2776.5681066977163,12308.858937244591,2702.5411446153853,9899930.84692308
Montage_25,5,NSGA-II,0.8098548563264178,0.09936628558641535,0.065324212845498,0.17251157899909092,0.14942528735632185,3.829005799998413,2883.9548536027646,12377.359887448918,2050.7428015384617,10218559.03076923
Montage_25,5,MOEA/D,0.5905785397232017,0.18925926347764524,0.0549521790547873,0.2731972207902844,0.0,3.34867249999661,3425.792234621394,14666.980442818509,2732.3304461538464,9214797.846153846
Montage_25,5,QL-NSGA-III,0.8193785315096566,0.07312317862243138,0.04914549321929927,0.22238252520331378,0.10344827586206896,3.031086700008018,2924.1394337800475,12989.186864771635,2572.050724615385,9635807.3
Montage_25,5,OVEA-style,0.6616392872871418,0.19727523628265436,0.053641435942303244,0.2638752270742169,0.034482758620689655,2.885608800002956,3196.387080973558,14398.196883834134,2892.958641538462,10706941.478461541
Montage_25,5,QMOEA/D-AWA-style,0.3835921500871936,0.3245637021346726,0.24098629296639953,0.5910540529069106,0.0,2.9629819999972824,3704.6816837289666,16168.004433584738,5423.386179999999,9240110.346153848
