benchmark,baseline,metric,adare_mean,adare_std,baseline_mean,baseline_std,gain_percent,scale
Epigenomics_24,NSGA-II,epsilon,0.08463434506276932,0.04224095559642434,0.12660504389831106,0.007818660767796255,33.15088999870537,small
Epigenomics_24,NSGA-II,coverage,0.1828525641025641,0.07728314499506818,0.007874015748031496,0.011135539861205471,2222.227564102564,small
Epigenomics_24,NSGA-II,time,3.0177857499998026,0.023667358940544697,3.1897478999999294,0.52760503777601,5.391089057543717,small
Epigenomics_24,NSGA-II,makespan_best,261643.782125,0.0,262353.2790842353,235.5666889576218,0.2704357123767884,small
Epigenomics_24,NSGA-II,latency_best,830721.106,0.0,857189.9193477915,13773.939123297523,3.0878586822312046,small
Epigenomics_24,NSGA-II,cost_best,59972.54978538462,45422.03616843356,29620.747107692314,2587.8081514607074,-102.46805243413371,small
Epigenomics_24,NSGA-II,energy_best,716608769.7076924,212009.1283189047,716430981.55,238458.6152083199,-0.02481581091144151,small
Epigenomics_24,MOEA/D,hv,1.0681886612151184,0.0426558860641176,0.9057403373142672,0.08187638844858348,17.935418928403767,small
Epigenomics_24,MOEA/D,igd,0.05689423684561995,0.00029204096497684455,0.2149097673012193,0.018217942836111677,73.52645365537225,small
Epigenomics_24,MOEA/D,spacing,0.06529587032671505,0.00019360539580756523,0.05185687884547242,0.009016351017573282,-25.9155425093926,small
Epigenomics_24,MOEA/D,epsilon,0.08463434506276932,0.04224095559642434,0.18258416797834842,0.10821468020223306,53.64639442736042,small
Epigenomics_24,MOEA/D,coverage,0.020833333333333332,0.02946278254943948,0.027436023622047244,0.005393777120271401,-24.065769805680123,small
Epigenomics_24,MOEA/D,time,3.0177857499998026,0.023667358940544697,2.917308100000355,0.22935899402287804,-3.4441905535941,small
Epigenomics_24,MOEA/D,makespan_best,261643.782125,0.0,318878.77845150395,4652.481478722115,17.94882575894226,small
Epigenomics_24,MOEA/D,latency_best,830721.106,0.0,1024425.3090650121,1521.1795700744642,18.908572577321912,small
Epigenomics_24,MOEA/D,cost_best,59972.54978538462,45422.03616843356,163662.20072923077,80528.72577656791,63.35589432491771,small
Epigenomics_24,MOEA/D,energy_best,716608769.7076924,212009.1283189047,715939591.15,109141.81745127206,-0.09346857834995825,small
Epigenomics_24,QL-NSGA-III,hv,1.0681886612151184,0.0426558860641176,1.0710155322909385,0.002902997594120741,-0.2639430512994862,small
Epigenomics_24,QL-NSGA-III,igd,0.05689423684561995,0.00029204096497684455,0.05734831691206517,0.00083177942778718,0.791793187481826,small
Epigenomics_24,QL-NSGA-III,spacing,0.06529587032671505,0.00019360539580756523,0.08711023663632794,0.00198464476331465,25.04225353064367,small
Epigenomics_24,QL-NSGA-III,epsilon,0.08463434506276932,0.04224095559642434,0.07754894983446467,0.036343258086582474,-9.136674633801066,small
Epigenomics_24,QL-NSGA-III,coverage,0.07320761430350471,0.006667258388700769,0.04309178149606299,0.01639882237372837,69.8876485535721,small
Epigenomics_24,QL-NSGA-III,time,3.0177857499998026,0.023667358940544697,2.923595050000131,0.08651416112505378,-3.2217423544915214,small
Epigenomics_24,QL-NSGA-III,makespan_best,261643.782125,0.0,262582.3773608699,909.6982029661257,0.35744791608005655,small
Epigenomics_24,QL-NSGA-III,latency_best,830721.106,0.0,892733.5971800196,1203.3543590314096,6.946360188067927,small
Epigenomics_24,QL-NSGA-III,cost_best,59972.54978538462,45422.03616843356,32585.07064923077,1634.4040575716085,-84.04916297703464,small
Epigenomics_24,QL-NSGA-III,energy_best,716608769.7076924,212009.1283189047,725043057.9388462,11857454.228656936,1.1632810132864186,small
CyberShake_1000,NSGA-III,hv,0.49199754849417604,0.0054860637409503,0.42280305975914156,0.03937547855234604,16.365654679616686,1000
CyberShake_1000,NSGA-III,igd,0.11779495605734713,0.0024693461123802486,0.1502708407159999,0.023279293771760145,21.611567822415815,1000
CyberShake_1000,NSGA-III,spacing,0.06656439496718919,0.004216592272767475,0.06247627071226157,0.0008577563951725303,-6.543483163000774,1000
CyberShake_1000,NSGA-III,epsilon,0.279633268400091,0.060825243543751746,0.3716990640131277,0.07310230418898281,24.768907034370443,1000
CyberShake_1000,NSGA-III,coverage,0.273972602739726,0.23247346230790603,0.18838383838383838,0.08071016795361602,45.43317786183848,1000
CyberShake_1000,NSGA-III,time,14.768220500000098,0.08154906943943847,14.49981224999965,0.11059581392887964,-1.8511153480656577,1000
CyberShake_1000,NSGA-III,makespan_best,110796.78900000002,764.2250715824782,109459.91869692464,3358.1220383738073,-1.2213331774683134,1000
CyberShake_1000,NSGA-III,latency_best,38302283.46953905,1619388.227216948,39378498.71181877,175509.0731844593,2.733002215639867,1000
CyberShake_1000,NSGA-III,cost_best,476378.1984300007,1465.7268646832968,493915.04537307774,8423.652533025883,3.5505796203941564,1000
CyberShake_1000,NSGA-III,energy_best,1203479038.363462,11947539.77835425,1219522925.0938466,11318999.823631208,1.315587136596875,1000
CyberShake_1000,NSGA-II,hv,0.49199754849417604,0.0054860637409503,0.39271582820293954,0.0022216799323017647,25.280804378460587,1000
CyberShake_1000,NSGA-II,igd,0.11779495605734713,0.0024693461123802486,0.16531058471775587,0.0007862713653896778,28.743246381672932,1000
CyberShake_1000,NSGA-II,spacing,0.06656439496718919,0.004216592272767475,0.0782479179676927,0.020292988672961382,14.93141709575896,1000
CyberShake_1000,NSGA-II,epsilon,0.279633268400091,0.060825243543751746,0.39539287613128804,0.00034384314598593616,29.277110114841747,1000
CyberShake_1000,NSGA-II,coverage,0.538961038961039,0.10101525445522107,0.11717171717171718,0.06285393610547091,359.9753694581281,1000
CyberShake_1000,NSGA-II,time,14.768220500000098,0.08154906943943847,15.389575149999928,0.9990474830611875,4.037503595411684,1000
